level,slew,width,slowrate,range,count,step
7.00,0.10,0.05000,0,10,2,70
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
7.00,0.10,0.05000,,,,
